Pecha ID,Download Link,Non Word Ratio
P3CA53E6D,https://github.com/OpenPecha/P3CA53E6D/archive/refs/heads/botok.zip,0.07
PFF984DA1,https://github.com/OpenPecha/PFF984DA1/archive/refs/heads/botok.zip,0.09
P1F3A55AB,https://github.com/OpenPecha/P1F3A55AB/archive/refs/heads/botok.zip,0.09
P021E806F,https://github.com/OpenPecha/P021E806F/archive/refs/heads/botok.zip,0.1
PB39363F1,https://github.com/OpenPecha/PB39363F1/archive/refs/heads/botok.zip,0.1
PD25D93F3,https://github.com/OpenPecha/PD25D93F3/archive/refs/heads/botok.zip,0.06
P8871CF91,https://github.com/OpenPecha/P8871CF91/archive/refs/heads/botok.zip,0.14
P6434F7EC,https://github.com/OpenPecha/P6434F7EC/archive/refs/heads/botok.zip,0.11
P27972C00,https://github.com/OpenPecha/P27972C00/archive/refs/heads/botok.zip,0.09
P713072EB,https://github.com/OpenPecha/P713072EB/archive/refs/heads/botok.zip,0.04
P1DBA4B1B,https://github.com/OpenPecha/P1DBA4B1B/archive/refs/heads/botok.zip,0.09
P18B0A4F3,https://github.com/OpenPecha/P18B0A4F3/archive/refs/heads/botok.zip,0.1
PF509153F,https://github.com/OpenPecha/PF509153F/archive/refs/heads/botok.zip,0.09
P1C9D1A84,https://github.com/OpenPecha/P1C9D1A84/archive/refs/heads/botok.zip,0.13
PED7037E7,https://github.com/OpenPecha/PED7037E7/archive/refs/heads/botok.zip,0.09
P43A37A26,https://github.com/OpenPecha/P43A37A26/archive/refs/heads/botok.zip,0.1
P95B1A808,https://github.com/OpenPecha/P95B1A808/archive/refs/heads/botok.zip,0.12
P99E8AEFF,https://github.com/OpenPecha/P99E8AEFF/archive/refs/heads/botok.zip,0.08
PBA3FC841,https://github.com/OpenPecha/PBA3FC841/archive/refs/heads/botok.zip,0.13
P475C06B4,https://github.com/OpenPecha/P475C06B4/archive/refs/heads/botok.zip,0.13
P7E3BC377,https://github.com/OpenPecha/P7E3BC377/archive/refs/heads/botok.zip,0.04
P30CE3E1B,https://github.com/OpenPecha/P30CE3E1B/archive/refs/heads/botok.zip,0.07
P29441874,https://github.com/OpenPecha/P29441874/archive/refs/heads/botok.zip,0.11
PF8D4D2F8,https://github.com/OpenPecha/PF8D4D2F8/archive/refs/heads/botok.zip,0.12
P255114CD,https://github.com/OpenPecha/P255114CD/archive/refs/heads/botok.zip,0.08
P777E0689,https://github.com/OpenPecha/P777E0689/archive/refs/heads/botok.zip,0.08
P71B4496F,https://github.com/OpenPecha/P71B4496F/archive/refs/heads/botok.zip,0.06
P16DE2169,https://github.com/OpenPecha/P16DE2169/archive/refs/heads/botok.zip,0.12
P66622622,https://github.com/OpenPecha/P66622622/archive/refs/heads/botok.zip,0.14
P6CC3CCC1,https://github.com/OpenPecha/P6CC3CCC1/archive/refs/heads/botok.zip,0.07
P4FB4F8DF,https://github.com/OpenPecha/P4FB4F8DF/archive/refs/heads/botok.zip,0.17
P04B0707B,https://github.com/OpenPecha/P04B0707B/archive/refs/heads/botok.zip,0.06
P10546411,https://github.com/OpenPecha/P10546411/archive/refs/heads/botok.zip,0.1
PF4238277,https://github.com/OpenPecha/PF4238277/archive/refs/heads/botok.zip,0.08
P40CBB9B0,https://github.com/OpenPecha/P40CBB9B0/archive/refs/heads/botok.zip,0.07
PEACB4FF4,https://github.com/OpenPecha/PEACB4FF4/archive/refs/heads/botok.zip,0.09
P84CF83D0,https://github.com/OpenPecha/P84CF83D0/archive/refs/heads/botok.zip,0.09
P7D74A473,https://github.com/OpenPecha/P7D74A473/archive/refs/heads/botok.zip,0.08
PCE949524,https://github.com/OpenPecha/PCE949524/archive/refs/heads/botok.zip,0.19
P422D93A4,https://github.com/OpenPecha/P422D93A4/archive/refs/heads/botok.zip,0.08
P4A01CB1A,https://github.com/OpenPecha/P4A01CB1A/archive/refs/heads/botok.zip,0.1
PF5EBF866,https://github.com/OpenPecha/PF5EBF866/archive/refs/heads/botok.zip,0.13
PBCB15A44,https://github.com/OpenPecha/PBCB15A44/archive/refs/heads/botok.zip,0.06
P341CA240,https://github.com/OpenPecha/P341CA240/archive/refs/heads/botok.zip,0.11
P8300CAF2,https://github.com/OpenPecha/P8300CAF2/archive/refs/heads/botok.zip,0.06
P64679D44,https://github.com/OpenPecha/P64679D44/archive/refs/heads/botok.zip,0.1
PA4203333,https://github.com/OpenPecha/PA4203333/archive/refs/heads/botok.zip,0.1
PDA8EF784,https://github.com/OpenPecha/PDA8EF784/archive/refs/heads/botok.zip,0.11
